Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59958E+15,1,0.021,0.06104,-0.99173
1.59958E+15,2,0,-0.30519,-0.24415
1.59958E+15,1,0.021,0.06055,-0.99026
1.59958E+15,2,-0.06104,-0.4883,-0.30519
1.59958E+15,1,0.02051,0.06055,-0.99173
1.59958E+15,2,0.24415,-0.06104,-0.12207
1.59958E+15,1,0.02246,0.06201,-0.99564
1.59958E+15,2,0.06104,-0.24415,-0.18311
1.59958E+15,1,0.021,0.05957,-0.99026
1.59958E+15,2,-0.06104,-0.61037,-0.24415
1.59958E+15,1,0.02295,0.06201,-0.99319
1.59958E+15,2,-0.06104,-0.42726,-0.18311
1.59958E+15,1,0.02246,0.06104,-0.99124
1.59958E+15,2,0.06104,-0.30519,-0.18311
1.59958E+15,1,0.02344,0.06104,-0.99612
1.59958E+15,2,0.12207,-0.24415,-0.12207
1.59958E+15,1,0.02197,0.06006,-0.99368
1.59958E+15,2,-0.24415,-0.73244,-0.36622
1.59958E+15,1,0.02051,0.06055,-0.99222
1.59958E+15,2,-0.12207,-0.54933,-0.24415
1.59958E+15,1,0.021,0.06104,-0.99173
1.59958E+15,2,-0.12207,-0.4883,-0.30519
1.59958E+15,1,0.02002,0.06104,-0.99173
1.59958E+15,2,0.06104,-0.30519,-0.18311
1.59958E+15,1,0.02051,0.06153,-0.99271
1.59958E+15,2,0.12207,-0.18311,-0.18311
1.59958E+15,1,0.02002,0.06006,-0.99124
1.59958E+15,2,0.06104,-0.30519,-0.18311
1.59958E+15,1,0.02051,0.06153,-0.99173
1.59958E+15,2,0.06104,-0.30519,-0.18311
1.59958E+15,1,0.021,0.06104,-0.99173
1.59958E+15,2,0.06104,-0.12207,-0.18311
1.59958E+15,1,0.021,0.06104,-0.99271
1.59958E+15,2,0.06104,-0.18311,-0.18311
1.59958E+15,1,0.02149,0.06104,-0.99417
1.59958E+15,2,0.06104,-0.24415,-0.18311
1.59958E+15,1,0.02295,0.06201,-0.99368
1.59958E+15,2,-0.06104,-0.42726,-0.24415
1.59958E+15,1,0.02246,0.06104,-0.99173
1.59958E+15,2,0,-0.42726,-0.24415
1.59958E+15,1,0.02246,0.06201,-0.99173
1.59958E+15,2,-0.12207,-0.54933,-0.24415
1.59958E+15,1,0.02197,0.06104,-0.99222
1.59958E+15,2,0.06104,-0.36622,-0.24415
1.59958E+15,1,0.02246,0.06104,-0.99271
1.59958E+15,2,0,-0.36622,-0.24415
1.59958E+15,1,0.02051,0.06201,-0.99124
1.59958E+15,2,0.06104,-0.42726,-0.24415
1.59958E+15,1,0.02149,0.06201,-0.99368
1.59958E+15,2,0,-0.4883,-0.24415
1.59958E+15,1,0.02002,0.06104,-0.99026
1.59958E+15,2,0.06104,-0.30519,-0.18311
1.59958E+15,1,0.021,0.06104,-0.99124
1.59958E+15,2,-0.18311,-0.61037,-0.30519
1.59958E+15,1,0.02149,0.06104,-0.99271
1.59958E+15,2,-0.06104,-0.42726,-0.24415
1.59958E+15,1,0.021,0.06104,-0.99271
1.59958E+15,2,0.24415,-0.18311,-0.18311
1.59958E+15,1,0.02197,0.06104,-0.99173
1.59958E+15,2,0.12207,-0.30519,-0.18311
1.59958E+15,1,0.02197,0.06104,-0.99075
1.59958E+15,2,-0.12207,-0.54933,-0.30519
1.59958E+15,1,0.02295,0.06104,-0.99368
1.59958E+15,2,-0.06104,-0.4883,-0.24415
1.59958E+15,1,0.02197,0.06055,-0.99075
1.59958E+15,2,-0.06104,-0.42726,-0.18311
1.59958E+15,1,0.02295,0.06104,-0.99368
1.59958E+15,2,-0.06104,-0.42726,-0.18311
1.59958E+15,1,0.021,0.06006,-0.99173
1.59958E+15,2,-0.06104,-0.54933,-0.24415
1.59958E+15,1,0.02149,0.06104,-0.99271
1.59958E+15,2,0.12207,-0.24415,-0.18311
1.59958E+15,1,0.021,0.06104,-0.99319
1.59958E+15,2,0,-0.4883,-0.24415
1.59958E+15,1,0.02002,0.06104,-0.99222
1.59958E+15,2,0.12207,-0.30519,-0.12207
1.59958E+15,1,0.02149,0.06104,-0.99124
1.59958E+15,2,0.24415,0,-0.12207
1.59958E+15,1,0.021,0.06055,-0.99173
1.59958E+15,2,0,-0.42726,-0.24415
1.59958E+15,1,0.02002,0.06055,-0.99173
1.59958E+15,2,-0.18311,-0.54933,-0.30519
1.59958E+15,1,0.0083,0.06446,-1.00443
1.59958E+15,2,-0.24415,-1.22074,-0.24415
1.59958E+15,1,0.01611,0.06641,-1.01321
1.59958E+15,2,-1.09867,-3.35704,-0.42726
1.59958E+15,1,-0.01904,0.07764,-1.05228
1.59958E+15,2,-2.38044,-7.44652,-0.73244
1.59958E+15,1,-0.04053,0.09033,-1.10599
1.59958E+15,2,-5.92059,-17.82281,-1.648
1.59958E+15,1,0.01709,0.07031,-1.0806
1.59958E+15,2,-8.30103,-28.50429,-2.31941
1.59958E+15,1,-0.01904,0.07715,-1.07474
1.59958E+15,2,-11.10874,-38.39228,-2.92978
1.59958E+15,1,-0.00879,0.07666,-1.0303
1.59958E+15,2,-13.73333,-44.12976,-3.60118
1.59958E+15,1,-0.02783,0.07813,-0.99271
1.59958E+15,2,-13.12296,-44.86221,-3.05185
1.59958E+15,1,-0.03711,0.08252,-1.01419
1.59958E+15,2,-14.28266,-46.87643,-2.74667
1.59958E+15,1,-0.10498,0.11035,-1.06742
1.59958E+15,2,-14.16059,-46.75436,-1.77007
1.59958E+15,1,-0.07129,0.10596,-1.06497
1.59958E+15,2,-15.62548,-49.50102,-1.58696
1.59958E+15,1,-0.1167,0.10547,-1.03177
1.59958E+15,2,-15.25925,-49.31791,-1.22074
1.59958E+15,1,-0.11133,0.09326,-1.01224
1.59958E+15,2,-15.93066,-50.72176,-0.61037
1.59958E+15,1,-0.15723,0.10645,-1.02689
1.59958E+15,2,-16.11377,-49.1348,-1.09867
1.59958E+15,1,-0.11475,0.09766,-1.03275
1.59958E+15,2,-16.48,-48.52443,-0.91556
1.59958E+15,1,-0.0918,0.09815,-1.00296
1.59958E+15,2,-14.77096,-47.60887,-1.89215
1.59958E+15,1,-0.03272,0.08155,-0.96194
1.59958E+15,2,-15.13718,-49.74517,-2.92978
1.59958E+15,1,-0.06299,0.08399,-0.94339
1.59958E+15,2,-15.25925,-49.25687,-4.02844
1.59958E+15,1,-0.08985,0.08936,-0.96829
1.59958E+15,2,-15.62548,-46.81539,-5.43229
1.59958E+15,1,-0.11866,0.09473,-0.98489
1.59958E+15,2,-14.03851,-46.51021,-3.72326
1.59958E+15,1,-0.08887,0.09033,-0.97952
1.59958E+15,2,-13.12296,-46.3271,-3.72326
1.59958E+15,1,-0.14551,0.09375,-0.97562
1.59958E+15,2,-13.00089,-46.26606,-3.72326
1.59958E+15,1,-0.19678,0.11573,-1.00784
1.59958E+15,2,-12.14637,-43.58043,-3.05185
1.59958E+15,1,-0.22559,0.12159,-1.01028
1.59958E+15,2,-12.32948,-42.97006,-2.38044
1.59958E+15,1,-0.23731,0.11719,-1.0303
1.59958E+15,2,-13.12296,-43.15317,-2.25837
1.59958E+15,1,-0.25929,0.11719,-1.01907
1.59958E+15,2,-12.45155,-41.26102,-1.83111
1.59958E+15,1,-0.17286,0.11182,-0.97562
1.59958E+15,2,-13.42814,-42.48177,-2.31941
1.59958E+15,1,-0.15088,0.10108,-0.94143
1.59958E+15,2,-13.24503,-39.79614,-2.8077
1.59958E+15,1,-0.13623,0.10938,-0.94729
1.59958E+15,2,-13.12296,-40.28443,-2.86874
1.59958E+15,1,-0.09571,0.10254,-0.94143
1.59958E+15,2,-13.06192,-39.97925,-3.05185
1.59958E+15,1,-0.10938,0.12061,-0.9722
1.59958E+15,2,-12.14637,-41.81036,-2.99081
1.59958E+15,1,-0.11426,0.12842,-0.96243
1.59958E+15,2,-12.93985,-44.1908,-3.35704
1.59958E+15,1,-0.16553,0.12549,-0.96487
1.59958E+15,2,-11.536,-44.1908,-3.05185
1.59958E+15,1,-0.15479,0.12256,-0.94436
