\,Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,0.20118,-0.3838,-0.89407
1.59983E+15,2,-0.24415,-0.54933,-0.30519
1.59983E+15,1,0.20215,-0.38429,-0.89554
1.59983E+15,2,0,-0.30519,-0.24415
1.59983E+15,1,0.20118,-0.38429,-0.89602
1.59983E+15,2,0,-0.30519,-0.18311
1.59983E+15,1,0.20215,-0.38331,-0.89554
1.59983E+15,2,-0.12207,-0.42726,-0.30519
1.59983E+15,1,0.20167,-0.38429,-0.89554
1.59983E+15,2,-0.12207,-0.42726,-0.30519
1.59983E+15,1,0.20215,-0.3838,-0.89554
1.59983E+15,2,0,-0.30519,-0.18311
1.59983E+15,1,0.20313,-0.3838,-0.89602
1.59983E+15,2,-0.18311,-0.4883,-0.30519
1.59983E+15,1,0.20313,-0.38429,-0.89407
1.59983E+15,2,-0.06104,-0.42726,-0.18311
1.59983E+15,1,0.20167,-0.38429,-0.897
1.59983E+15,2,0.06104,-0.24415,-0.18311
1.59983E+15,1,0.20118,-0.3838,-0.89456
1.59983E+15,2,-0.12207,-0.54933,-0.24415
1.59983E+15,1,0.20215,-0.38429,-0.89505
1.59983E+15,2,0.06104,-0.30519,-0.18311
1.59983E+15,1,0.20118,-0.38429,-0.89407
1.59983E+15,2,-0.12207,-0.4883,-0.18311
1.59983E+15,1,0.20118,-0.38478,-0.89505
1.59983E+15,2,-0.12207,-0.4883,-0.24415
1.59983E+15,1,0.20167,-0.3838,-0.89456
1.59983E+15,2,0.12207,-0.18311,-0.18311
1.59983E+15,1,0.20167,-0.38478,-0.89407
1.59983E+15,2,0,-0.18311,-0.24415
1.59983E+15,1,0.20069,-0.38478,-0.89505
1.59983E+15,2,-0.06104,-0.30519,-0.18311
1.59983E+15,1,0.20118,-0.38527,-0.89554
1.59983E+15,2,0,-0.18311,-0.18311
1.59983E+15,1,0.20069,-0.38429,-0.89505
1.59983E+15,2,0.06104,-0.12207,-0.12207
1.59983E+15,1,0.20167,-0.38429,-0.89554
1.59983E+15,2,-0.12207,-0.42726,-0.24415
1.59983E+15,1,0.20215,-0.38331,-0.89505
1.59983E+15,2,-0.18311,-0.61037,-0.24415
1.59983E+15,1,0.20215,-0.38429,-0.89651
1.59983E+15,2,0,-0.36622,-0.24415
1.59983E+15,1,0.20167,-0.38429,-0.89456
1.59983E+15,2,-0.12207,-0.36622,-0.18311
1.59983E+15,1,0.20118,-0.3838,-0.89505
1.59983E+15,2,0.06104,-0.12207,-0.12207
1.59983E+15,1,0.20215,-0.38331,-0.89554
1.59983E+15,2,0,-0.12207,-0.12207
1.59983E+15,1,0.20167,-0.3838,-0.89309
1.59983E+15,2,-0.12207,-0.30519,-0.24415
1.59983E+15,1,0.20362,-0.38282,-0.89505
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.20264,-0.38429,-0.89602
1.59983E+15,2,0,-0.24415,-0.12207
1.59983E+15,1,0.20362,-0.38478,-0.89651
1.59983E+15,2,0.06104,-0.24415,-0.18311
1.59983E+15,1,0.20313,-0.38478,-0.89651
1.59983E+15,2,-0.12207,-0.4883,-0.12207
1.59983E+15,1,0.20167,-0.38429,-0.89358
1.59983E+15,2,-0.12207,-0.61037,-0.18311
1.59983E+15,1,0.20118,-0.38331,-0.89554
1.59983E+15,2,-0.18311,-0.67141,-0.24415
1.59983E+15,1,0.20118,-0.38527,-0.89407
1.59983E+15,2,-0.24415,-0.73244,-0.24415
1.59983E+15,1,0.20118,-0.3838,-0.89505
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.18799,-0.39064,-0.91653
1.59983E+15,2,-0.30519,-0.79348,0.06104
1.59983E+15,1,0.11573,-0.43654,-1.06937
1.59983E+15,2,-2.74667,-8.9114,3.11289
1.59983E+15,1,0.14063,-0.47365,-1.21732
1.59983E+15,2,-8.97244,-30.70162,10.98666
